Plan Name,Advisor,Branch Location,Rep,Status,Implementation Contact,2024/2025 Work,Case Notes,"Conversion, TPA Change of Record or Startup, Solo",Assets,Flow,Participants,Verfied Assets/Parts,5 bps Y or N,First Billed Date,Admin Assigned,Installation Payment Date,Installation payment,Provider,Document,Projected Installation Payment,Ongoing 5 bps,Total 1 Yr RK,Annual Admin (Base Fee),Audit,New Comparability,Participant Fee,Additional bps built in,Participant Fee Total,Total 1st Yr TPA,2nd Year TPA,Hard Dollar w/o Rev Share
"Manning Concrete, Inc. ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,1248820,0,8,,y,2024,Crissy,,n,Transamerica,0,0,624.41,624.41,0,,,55,,440,752.205,1064.41,440
"Mogul Insurance Agency, LLC ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,5106,0,3,,y,2024,Crissy,,n,Transamerica,0,0,2.553,2.553,0,,,55,,165,166.2765,167.553,165
"Momentum Mechanical, Inc. ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,1011499,0,31,,y,2024,Crissy,,n,Transamerica,0,0,505.7495,505.7495,0,,,55,,1705,1957.87475,2210.7495,1705
Mountain Mover Facades ,Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,461219,0,8,,y,2024,Crissy,,n,Transamerica,0,0,230.6095,230.6095,0,,,55,,440,555.30475,670.6095,440
"National Product Sales, Inc.",Shawn Oram,AFS - MEP Plan,,Active,1200,15,0,0,2935658,0,143,,n,2024,Crissy,,n,Transamerica,0,0,0,0,1200,,,15,,2145,3345,3345,3345
Northwest HDD & Excavation,Samantha Jenkins,IMA,3(16),,,,,Active,3139,0,4,,n,2025,Kim,,n,T Rowe Price,0,0,0,0,2450,,1000,48,,192,2642,3642,3642
"Novel Builders, LLC ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,1680154,0,23,,y,2024,Crissy,,n,Transamerica,0,0,840.077,840.077,0,,,55,,1265,1685.0385,2105.077,1265
Park City Market Inc.,Shawn Oram,AFS - MEP Plan,,Active,1200,15,0,0,690640,0,95,,n,2024,Crissy,,n,Transamerica,0,0,0,0,1200,,,15,,1425,2625,2625,2625
PAX Sapiens,Brian Heinke,IMA,Dean,,,2025,,Startup,1678079,50000,16,,n,2025,Kim,,n,T Rowe Price,0,0,0,0,,,,25,,400,400,400,400
"PCL Insurance Agency, Inc. dba PCL Contract Bonding Agency ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,430729,0,4,,y,2024,Crissy,,n,Transamerica,0,0,215.3645,215.3645,0,,,55,,220,327.68225,435.3645,220
