Total Fees by Contract,,,,,,,,,
"Executive Retirement Plans, LLC TPA(508420) ",,,,,,,,,
10/1/2023 - 9/30/2025,,,,,,,,,
,,,,,,,,,
Contract ID,Sub ID,Company Name,Fee Type,Total,,,,,
932293,00018,"JMEG, LLC",Transaction Fees,"39,033.75",,,,,
932293,00018,"JMEG, LLC",Service Fee Income,"9,104.59",,,,,
932293,00018,"JMEG, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"48,138.34",,,,,
,,,,,,,,,
932293,00019,Burnco USA LLC,Transaction Fees,"52,677.08",,,,,
932293,00019,Burnco USA LLC,Service Fee Income,"6,110.26",,,,,
932293,00019,Burnco USA LLC,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"58,787.34",,,,,
,,,,,,,,,
932293,00021,"Carrco Painting Contractors, Inc.",Transaction Fees,"1,875.00",,,,,
932293,00021,"Carrco Painting Contractors, Inc.",Service Fee Income,529.02,,,,,
932293,00021,"Carrco Painting Contractors, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"2,404.02",,,,,
,,,,,,,,,
932293,00022,"Novel Builders, LLC",Transaction Fees,875.00,,,,,
932293,00022,"Novel Builders, LLC",Service Fee Income,468.34,,,,,
932293,00022,"Novel Builders, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"1,343.34",,,,,
,,,,,,,,,
932293,00024,"George/McKenna Electrical Contractors, Inc.",Transaction Fees,800.00,,,,,
932293,00024,"George/McKenna Electrical Contractors, Inc.",Service Fee Income,0.00,,,,,
932293,00024,"George/McKenna Electrical Contractors, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,800.00,,,,,
,,,,,,,,,
932293,00025,"TEPCOGLASS, LLC",Transaction Fees,"4,845.15",,,,,
932293,00025,"TEPCOGLASS, LLC",Service Fee Income,144.38,,,,,
932293,00025,"TEPCOGLASS, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"4,989.53",,,,,
,,,,,,,,,
